game,total_purchasers,purchased_and_played,conversion_rate
"Fat Chicken",2,1,50.0
"Final Dusk",4,2,50.0
"Firefly Online Cortex",4,2,50.0
"Foosball - Street Edition",2,1,50.0
"Frankenstein Master of Death",10,5,50.0
"Freddi Fish and Luther's Maze Madness",2,1,50.0
"Frederic Evil Strikes Back",2,1,50.0
"Frontlines Fuel of War",8,4,50.0
"Galcon 2",16,8,50.0
"Game Tycoon 1.5",4,2,50.0
"GemCraft - Chasing Shadows",2,1,50.0
"Geometry Wars 3 Dimensions Evolved",2,1,50.0
Glare,2,1,50.0
Glowfish,2,1,50.0
"Gold Rush! Classic",2,1,50.0
"Gothic 3",20,10,50.0
"Gothic 3 Forsaken Gods Enhanced Edition",8,4,50.0
"Gray Matter",4,2,50.0
Grimind,6,3,50.0
"Grotesque Tactics Evil Heroes",10,5,50.0
"Guardians of Orion",2,1,50.0
"Guilty Gear X2 #Reload",4,2,50.0
GundeadliGne,2,1,50.0
"Gundemonium Recollection",2,1,50.0
Gunscape,14,7,50.0
Gunship!,2,1,50.0
Habitat,2,1,50.0
Halfway,2,1,50.0
"Hamlet or the last game without MMORPG features, shaders and product placement",2,1,50.0
"Hazard Ops",28,14,50.0
"Helicopter Simulator 2014 Search and Rescue",8,4,50.0
"Hero of the Kingdom",6,3,50.0
Hexcells,2,1,50.0
"Hitogata Happa",2,1,50.0
"Hunting Unlimited 2010",4,2,50.0
"I, Zombie",8,4,50.0
Iesabel,2,1,50.0
Impire,8,4,50.0
Influent,4,2,50.0
"International Snooker",2,1,50.0
Interplanetary,6,3,50.0
"Into the Dark",2,1,50.0
"It came from space, and ate our brains",4,2,50.0
"Jade Empire Special Edition",8,4,50.0
Jazzpunk,16,8,50.0
"Jet Gunner",10,5,50.0
"Joe Dever's Lone Wolf HD Remastered",2,1,50.0
"Judge Dredd Dredd vs Death",2,1,50.0
"Just Get Through",2,1,50.0
"Keen Dreams",2,1,50.0
"Khet 2.0",2,1,50.0
"King's Bounty Dark Side",2,1,50.0
"King's Bounty The Legend",18,9,50.0
"Kingdom Wars 2 Battles",2,1,50.0
"Kingdoms CCG",6,3,50.0
"Kung Fury Street Rage",4,2,50.0
Kyn,2,1,50.0
La-Mulana,10,5,50.0
"Lambda Wars Beta",16,8,50.0
"Legend of Dungeon Masters",6,3,50.0
"Lost Planet 3",28,14,50.0
"Lovely Planet",4,2,50.0
"Lumino City",2,1,50.0
"MLB 2K10",2,1,50.0
"MLB 2K11",2,1,50.0
Maelstrom,2,1,50.0
"Magnetic By Nature",2,1,50.0
"Maszyny Rolnicze 2015",2,1,50.0
"Mega Man Legacy Collection",2,1,50.0
"Melissa K. and the Heart of Gold Collector's Edition",4,2,50.0
"Men of War",24,12,50.0
"Metal Gear Solid Legacy",10,5,50.0
"Metal Planet",2,1,50.0
"Metal War Online Retribution",8,4,50.0
Metrocide,4,2,50.0
"Mighty Gunvolt",4,2,50.0
Millie,2,1,50.0
"NBA 2K11",2,1,50.0
"NBA 2K9",14,7,50.0
"NEED FOR MADNESS ?",4,2,50.0
"NEO Scavenger",8,4,50.0
"Nancy Drew Curse of Blackmoor Manor ",2,1,50.0
"Nancy Drew Danger By Design",2,1,50.0
"Nancy Drew Danger on Deception Island ",2,1,50.0
"Nancy Drew Last Train to Blue Moon Canyon",2,1,50.0
"Nancy Drew Lights, Camera, Curses!",2,1,50.0
"Nancy Drew Secret of the Scarlet Hand ",2,1,50.0
"Nancy Drew Secrets can Kill",2,1,50.0
"Nancy Drew Shadow at the Water's Edge",2,1,50.0
"Nancy Drew The White Wolf of Icicle Creek",2,1,50.0
"Nancy Drew Warnings at Waverly Academy",2,1,50.0
Nightbanes,6,3,50.0
Nimbus,6,3,50.0
"Nuclear Dawn",24,12,50.0
"Numen Contest of Heroes",4,2,50.0
NyxQuest,4,2,50.0
O.R.B.,2,1,50.0
Obscure,2,1,50.0
Omegalodon,2,1,50.0
Oniken,2,1,50.0
"Organic Panic",2,1,50.0
Overture,4,2,50.0
"Parkan 2",2,1,50.0
Particulars,2,1,50.0
"Party Hard",2,1,50.0
"Pirates of Black Cove",4,2,50.0
"Pixel Puzzles UndeadZ",2,1,50.0
Pongo,2,1,50.0
"Port of Call",4,2,50.0
"Post Master ",2,1,50.0
"Potatoman Seeks the Troof",2,1,50.0
Power-Up,4,2,50.0
"Pre-Civilization Marble Age",2,1,50.0
Prey,8,4,50.0
"Pride of Nations",2,1,50.0
"Prime World Defenders",10,5,50.0
"Pro Cycling Manager Season 2009",2,1,50.0
"Putt-Putt Travels Through Time",2,1,50.0
"Putt-Putt and Pep's Balloon-o-Rama",2,1,50.0
"Puzzler World 2",2,1,50.0
Quake,16,8,50.0
Qvadriga,2,1,50.0
"RADical ROACH Deluxe Edition",16,8,50.0
ROCKETSROCKETSROCKETS,4,2,50.0
"RPG Maker 2000",2,1,50.0
"Real Boxing",4,2,50.0
"Realms of Arkania 3 - Shadows over Riva Classic",2,1,50.0
"Residue Final Cut",2,1,50.0
Retention,4,2,50.0
Retrovirus,2,1,50.0
"Return to Mysterious Island 2",2,1,50.0
"Rhythm Zone",2,1,50.0
"Rig 'n' Roll",4,2,50.0
"Ring Runner Flight of the Sages",6,3,50.0
RoboBlitz,2,1,50.0
"Rogue's Tale",2,1,50.0
"RollerCoaster Tycoon",2,1,50.0
Rotieer,2,1,50.0
"Runespell Overture",2,1,50.0
"S.T.A.L.K.E.R. Call of Pripyat",50,25,50.0
"STAR WARS X-Wing vs. TIE Fighter",2,1,50.0
"Sacred Gold",12,6,50.0
"Saturday Morning RPG",2,1,50.0
Scarygirl,2,1,50.0
"Schrdinger's Cat and the Raiders of the Lost Quark",2,1,50.0
"Secret Files Puritas Cordis",2,1,50.0
"Secret Files Sam Peters",2,1,50.0
"Secret of the Magic Crystal",6,3,50.0
"Secrets of Rtikon",8,4,50.0
"Section 8",6,3,50.0
"Shad'O",2,1,50.0
"Shadow of Kingdoms",2,1,50.0
"Shadowgate MacVenture Series",4,2,50.0
"Shan Gui",2,1,50.0
Shelter,10,5,50.0
"Sherlock Holmes and The Hound of The Baskervilles",2,1,50.0
"Shiny The Firefly",2,1,50.0
Shipwreck,2,1,50.0
Showtime!,2,1,50.0
"Shufflepuck Cantina Deluxe VR",6,3,50.0
"Silent Hunter Wolves of the Pacific U-Boat Missions",2,1,50.0
"Sinister City",12,6,50.0
"Sins of a Dark Age",26,13,50.0
Slip,2,1,50.0
"Sniper Elite Zombie Army",2,1,50.0
"Song of the Myrne What Lies Beneath",2,1,50.0
"Sonic and SEGA All Stars Racing",4,2,50.0
"Soul Gambler",6,3,50.0
"Space Siege",2,1,50.0
"Speed Kills",2,1,50.0
"Speedball 2 HD",12,6,50.0
"Sphere III Enchanted World",4,2,50.0
"Spoiler Alert",4,2,50.0
"Spooky Cats",2,1,50.0
"Star Wolves",4,2,50.0
StarMade,10,5,50.0
"Stardust Vanguards",2,1,50.0
"State of Decay Year-One",4,2,50.0
"Stellar Impact",2,1,50.0
Stonerid,2,1,50.0
Strider,22,11,50.0
"Strife Veteran Edition",2,1,50.0
"Sugar Cube Bittersweet Factory",2,1,50.0
"Super Hipster Lumberjack",2,1,50.0
"Super Killer Hornet Resurrection",20,10,50.0
Swipecart,8,4,50.0
"Swords and Soldiers HD",12,6,50.0
"System Protocol One",2,1,50.0
"THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION",2,1,50.0
"THE KING OF FIGHTERS 2002 UNLIMITED MATCH",4,2,50.0
"TRANSFORMERS Rise of the Dark Spark",2,1,50.0
"TRI Of Friendship and Madness",2,1,50.0
"Take Command Second Manassas",2,1,50.0
"Tales of Monkey Island Chapter 1 - Launch of the Screaming Narwhal",10,5,50.0
"Teddy Floppy Ear - Mountain Adventure",2,1,50.0
"Temper Tantrum",8,4,50.0
"The 7th Guest",4,2,50.0
"The Age of Decadence",2,1,50.0
"The Book of Unwritten Tales",18,9,50.0
"The Clockwork Man The Hidden World",2,1,50.0
"The Club",2,1,50.0
"The Dead Linger",4,2,50.0
"The Defenders The Second Wave",2,1,50.0
"The Floor is Jelly",2,1,50.0
"The Guild II Renaissance",24,12,50.0
"The Howler",8,4,50.0
"The Journey Down Chapter One",10,5,50.0
"The Kings' Crusade",4,2,50.0
"The Masterplan",2,1,50.0
"The Movies",2,1,50.0
"The Next BIG Thing",4,2,50.0
"The Nightmare Cooperative",2,1,50.0
"The Slaughtering Grounds",6,3,50.0
"The Sun at Night",2,1,50.0
"The Swindle",2,1,50.0
"The Undying Plague",2,1,50.0
"Tiamat X",2,1,50.0
Timberman,4,2,50.0
"Time Mysteries 2 The Ancient Spectres",2,1,50.0
TimeShift,6,3,50.0
"Tiny Brains",4,2,50.0
"Titan Quest",116,58,50.0
"Tom Clancy's Ghost Recon",4,2,50.0
"Tom Clancy's H.A.W.X.",4,2,50.0
"Tom Clancy's Rainbow Six 3 Gold Edition",6,3,50.0
"Trapped Dead",8,4,50.0
"Turok Dinosaur Hunter",2,1,50.0
"Twin Sector",2,1,50.0
"UFO Aftermath",2,1,50.0
"Unity of Command",2,1,50.0
"Unreal Gold",16,8,50.0
"Uriel's Chasm",14,7,50.0
Vagante,2,1,50.0
"Vanguard Princess",8,4,50.0
VelocityUltra,2,1,50.0
"Victory At Sea",2,1,50.0
"Victory The Age of Racing",2,1,50.0
"Vintage Year",2,1,50.0
Violett,2,1,50.0
"Vlad the Impaler",2,1,50.0
VoidExpanse,2,1,50.0
Volt,2,1,50.0
"WRC Powerslide",4,2,50.0
"War in a Box Paper Tanks",2,1,50.0
"War of Beach",4,2,50.0
"Watchmen The End Is Nigh Part 2",2,1,50.0
"White Noise Online",4,2,50.0
"Wildlife Park 2 - Dino World",2,1,50.0
"Wildlife Park 2 - Marine World",2,1,50.0
"Wildlife Park 3",6,3,50.0
"Wind of Luck Arena",10,5,50.0
"World Basketball Manager 2010",2,1,50.0
"YOU DON'T KNOW JACK",2,1,50.0
"Your Doodles Are Bugged!",2,1,50.0
"Ys VI The Ark of Napishtim",2,1,50.0
Z,2,1,50.0
"Zero Gear",4,2,50.0
"Zombie Zoeds",4,2,50.0
"iBomber Defense",4,2,50.0
iO,2,1,50.0
oO,2,1,50.0
"planetarian ~the reverie of a little planet~",2,1,50.0
realMyst,6,3,50.0
theHunter,248,124,50.0
Loadout,358,177,49.44
"Red Orchestra Ostfront 41-45",63,31,49.21
"Portal Stories Mel",49,24,48.98
HAWKEN,225,110,48.89
"Worms Armageddon",43,21,48.84
"Star Wars Republic Commando",68,33,48.53
"Duke Nukem 3D Megaton Edition",33,16,48.48
"Max Payne",33,16,48.48
"Alpha Protocol",31,15,48.39
"Painkiller Hell & Damnation",31,15,48.39
Transformice,93,45,48.39
"Magicka Wizard Wars",238,115,48.32
Nosgoth,354,171,48.31
"Happy Wars",114,55,48.25
"Star Conflict",112,54,48.21
Fallout,54,26,48.15
"Stealth Bastard Deluxe",27,13,48.15
"The Swapper",54,26,48.15
"Race The Sun",52,25,48.08
"Canyon Capers",25,12,48.0
"Greed Corp",25,12,48.0
"STAR WARS Knights of the Old Republic II The Sith Lords",100,48,48.0
"Ticket to Ride",25,12,48.0
"Dungeon Siege",23,11,47.83
"HIS (Heroes In the Sky)",23,11,47.83
"Giana Sisters Twisted Dreams",44,21,47.73
"Piercing Blow",21,10,47.62
"Lone Survivor The Director's Cut",40,19,47.5
"War of the Roses",97,46,47.42
"Brtal Legend",76,36,47.37
POSTAL,19,9,47.37
SkyDrift,19,9,47.37
Neverwinter,288,136,47.22
Echoes+,17,8,47.06
"Pirates, Vikings, & Knights II",32,15,46.88
"S.T.A.L.K.E.R. Clear Sky",32,15,46.88
"Star Wars Jedi Knight Jedi Academy",79,37,46.84
"Only If",77,36,46.75
"Champions Online",45,21,46.67
"Disney Infinity 3.0 Play Without Limits",15,7,46.67
"Legend of Grimrock 2",15,7,46.67
"Might & Magic Duel of Champions",30,14,46.67
"Really Big Sky",45,21,46.67
"Resident Evil Revelations 2 / Biohazard Revelations 2",30,14,46.67
"Saints Row IV Inauguration Station",15,7,46.67
"School of Dragons How to Train Your Dragon",60,28,46.67
"Smashmuck Champions",15,7,46.67
"The Way of Life Free Edition",45,21,46.67
"Counter-Strike Nexon Zombies",395,184,46.58
RIFT,161,75,46.58
"Gear Up",116,54,46.55
SpaceChem,71,33,46.48
Gish,28,13,46.43
"Spiral Knights",138,64,46.38
"Afterfall InSanity Extended Edition",67,31,46.27
"Deus Ex Game of the Year Edition",80,37,46.25
"Bloodline Champions",52,24,46.15
"Disciples III Renaissance",13,6,46.15
"Dragon's Prophet",13,6,46.15
EDGE,26,12,46.15
"ENSLAVED Odyssey to the West Premium Edition",13,6,46.15
"Villagers and Heroes",39,18,46.15
"Gun Monkeys",63,29,46.03
"Blacklight Retribution",176,81,46.02
"Blood Bowl Legendary Edition",37,17,45.95
"Super Crate Box",74,34,45.95
"Double Action Boogaloo",98,45,45.92
"Fallout 2",48,22,45.83
"Unreal Tournament Game of the Year Edition",24,11,45.83
"F.E.A.R. 3",116,53,45.69
Survarium,173,79,45.66
"Heroes of Might & Magic V Tribes of the East",11,5,45.45
"Kung Fu Strike The Warrior's Rise",11,5,45.45
Loom,11,5,45.45
"Men of War Vietnam",11,5,45.45
"Missing Translation",11,5,45.45
"Peggle Extreme",11,5,45.45
"PixelJunk Shooter",11,5,45.45
QuestRun,11,5,45.45
"Railroad Tycoon 3",11,5,45.45
"STORM Frontline Nation",11,5,45.45
"Arma 2 DayZ Mod",130,59,45.38
"Galactic Civilizations II Ultimate Edition",53,24,45.28
"Bejeweled 3",31,14,45.16
"Metro Last Light Redux",62,28,45.16
Home,20,9,45.0
"Running Shadow",20,9,45.0
"Shadow Warrior Classic Redux",20,9,45.0
Jamestown,49,22,44.9
Rochard,29,13,44.83
"Command and Conquer Red Alert 3 - Uprising",67,30,44.78
"Stronghold Kingdoms",105,47,44.76
Brick-Force,92,41,44.57
"A Virus Named TOM",27,12,44.44
"Call of Cthulhu Dark Corners of the Earth",9,4,44.44
"Defender's Quest Valley of the Forgotten",9,4,44.44
Eldritch,9,4,44.44
Elsword,63,28,44.44
"Hack 'n' Slash",9,4,44.44
"Heroes of Might & Magic III - HD Edition",18,8,44.44
"Jurassic Park The Game",9,4,44.44
"LEGO Batman 2",9,4,44.44
Nihilumbra,9,4,44.44
Obulis,9,4,44.44
"PARTICLE MACE",9,4,44.44
"Quake 4",9,4,44.44
Requiem,9,4,44.44
"Shadows on the Vatican - Act I Greed",18,8,44.44
Survivalist,9,4,44.44
"Tiny and Big Grandpa's Leftovers",36,16,44.44
"Volgarr the Viking",9,4,44.44
Wickland,9,4,44.44
"You Have to Win the Game",43,19,44.19
Dustforce,34,15,44.12
"Max Payne 2 The Fall of Max Payne",34,15,44.12
"Supreme Commander Forged Alliance",59,26,44.07
"America's Army Proving Grounds",121,53,43.8
"Bridge Project",16,7,43.75
"Quake III Arena",16,7,43.75
"Risen 2 - Dark Waters",80,35,43.75
"Shank 2",32,14,43.75
"Sigils of Elohim",16,7,43.75
"Tom Clancy's Splinter Cell",16,7,43.75
Deadbreed,39,17,43.59
"Shadowrun Dragonfall - Director's Cut",39,17,43.59
"Dragon Nest Europe",46,20,43.48
"Full Mojo Rampage",23,10,43.48
"Out There Somewhere",23,10,43.48
"RACE 07",92,40,43.48
Waveform,23,10,43.48
"Red Faction Armageddon",113,49,43.36
"Far Cry",60,26,43.33
"Overlord II",67,29,43.28
"Grand Theft Auto Vice City",104,45,43.27
"Europa Universalis III",37,16,43.24
"Medieval II Total War Kingdoms",79,34,43.04
"A.V.A - Alliance of Valiant Arms",63,27,42.86
"Agricultural Simulator 2013 Steam Edition",7,3,42.86
"Bionic Dues",14,6,42.86
"Bloody Good Time",7,3,42.86
"Bridge Constructor",14,6,42.86
"Call of Juarez Bound in Blood",14,6,42.86
"Cargo Commander",7,3,42.86
"Carrier Command Gaea Mission",14,6,42.86
"Cortex Command",14,6,42.86
"Cossacks Art of War",7,3,42.86
"DarkStar One",7,3,42.86
"Disciples II Rise of the Elves",7,3,42.86
DisplayFusion,7,3,42.86
"Fieldrunners 2",7,3,42.86
Fingerbones,7,3,42.86
"Flatout 3",7,3,42.86
"Infinity Wars - Animated Trading Card Game",35,15,42.86
"Jolly Rover",7,3,42.86
"KickBeat Steam Edition",14,6,42.86
Knock-knock,7,3,42.86
"Marvel Puzzle Quest",21,9,42.86
"Meridian New World",7,3,42.86
"Of Orcs And Men",14,6,42.86
"Patrician IV Rise of a Dynasty",7,3,42.86
"Pyramid Raid",7,3,42.86
Serena,14,6,42.86
"Space Empires IV Deluxe",7,3,42.86
"Strong Bad Episode 1 Homestar Ruiner",7,3,42.86
"Sword of the Stars The Pit",7,3,42.86
Terrorhedron,7,3,42.86
Teslagrad,7,3,42.86
"The Dream Machine",7,3,42.86
"The Tiny Bang Story",14,6,42.86
"X2 The Threat",14,6,42.86
"Zombie Shooter 2",7,3,42.86
"Super Monday Night Combat",82,35,42.68
Defiance,218,93,42.66
Vindictus,61,26,42.62
Archeblade,139,59,42.45
"The Expendabros",151,64,42.38
"Tom Clancy's Ghost Recon Phantoms - NA",314,133,42.36
DEFCON,52,22,42.31
"Spore Creepy & Cute Parts Pack",26,11,42.31
"MicroVolts Surge",45,19,42.22
"F.E.A.R. Online",64,27,42.19
"Insanely Twisted Shadow Planet",19,8,42.11
"Magic Barrage - Bitferno",19,8,42.11
"MechWarrior Online",19,8,42.11
"Penumbra Black Plague",19,8,42.11
"War Inc. Battlezone",76,32,42.11
"Gotham City Impostors Free To Play",162,68,41.98
"Titan Quest Immortal Throne",74,31,41.89
Batla,36,15,41.67
"Cities XL Platinum",36,15,41.67
"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald A Whirlwind Heist",12,5,41.67
"Faerie Solitaire",12,5,41.67
"Jagged Alliance - Back in Action",12,5,41.67
LUFTRAUSERS,24,10,41.67
"Dead Space",157,65,41.4
Blackguards,29,12,41.38
Stacking,29,12,41.38
"Tribes Ascend",104,43,41.35
"Gothic II Gold Edition",17,7,41.18
HOARD,34,14,41.18
"Indie Game The Movie",17,7,41.18
"Sine Mora",17,7,41.18
"The Showdown Effect",34,14,41.18
"DiRT Showdown",56,23,41.07
"Tactical Intervention",151,62,41.06
"Cthulhu Saves the World ",39,16,41.03
Shank,39,16,41.03
"Grand Theft Auto Episodes from Liberty City",181,74,40.88
"Dragons and Titans",59,24,40.68
Altitude,32,13,40.63
"Bad Rats",32,13,40.63
"The Plan",32,13,40.63
"Day of Defeat Source",409,166,40.59
"And Yet It Moves",37,15,40.54
"Global Agenda",37,15,40.54
"Guns and Robots",74,30,40.54
"Aces Wild Manic Brawling Action!",5,2,40.0
"Age of Wonders",5,2,40.0
"Age of Wonders 2",5,2,40.0
"Anno Online",20,8,40.0
"Battle Nations",20,8,40.0
"Black Mirror",5,2,40.0
"Brothers in Arms Road to Hill 30",5,2,40.0
Burstfire,5,2,40.0
"Clive Barker's Jericho",5,2,40.0
Cloudbuilt,5,2,40.0
"Crimzon Clover  WORLD IGNITION",5,2,40.0
"Cubemen 2",5,2,40.0
DARK,5,2,40.0
Demonicon,5,2,40.0
"Deus Ex Human Revolution - The Missing Link",55,22,40.0
"Divinity II - The Dragon Knight Saga",5,2,40.0
"Dysfunctional Systems Learning to Manage Chaos",5,2,40.0
"Epic Arena",10,4,40.0
"Eternal Fate",10,4,40.0
Firefall,195,78,40.0
"Full Spectrum Warrior",5,2,40.0
"Gigantic Army",5,2,40.0
"Gods Will Be Watching",5,2,40.0
"Imperium Romanum Gold Edition",10,4,40.0
"Intrusion 2",25,10,40.0
"Mutant Mudds Deluxe",5,2,40.0
Platypus,5,2,40.0
Puddle,5,2,40.0
Quintet,10,4,40.0
"Racer 8",25,10,40.0
"Risen 3 - Titan Lords",10,4,40.0
"Rome Total War - Alexander",45,18,40.0
"SC2VN - The eSports Visual Novel",5,2,40.0
Scoregasm,5,2,40.0
"Season of Mystery  The Cherry Blossom Murders",5,2,40.0
"Shadow Harvest Phantom Ops",5,2,40.0
"Sherlock Holmes versus Jack the Ripper",5,2,40.0
"Skara - The Blade Remains",5,2,40.0
"Skulls of the Shogun",10,4,40.0
"Starlaxis Supernova Edition",5,2,40.0
"Stellar 2D",5,2,40.0
"Still Life",5,2,40.0
"Sword Coast Legends",5,2,40.0
"TDP5 Arena 3D",10,4,40.0
"Tea Party Simulator 2015",5,2,40.0
"The Baconing",15,6,40.0
"The Detail",5,2,40.0
"The Four Kings Casino and Slots",20,8,40.0
"The Novelist",10,4,40.0
"The Old Tree",10,4,40.0
"The Void",10,4,40.0
"Theatre of War",5,2,40.0
"Tom Clancy's Ghost Recon Advanced Warfighter",5,2,40.0
"Tower of Guns",10,4,40.0
"Velvet Sundown",40,16,40.0
Walkover,5,2,40.0
Windosill,15,6,40.0
"World War II Panzer Claws",5,2,40.0
"X Beyond the Frontier",10,4,40.0
"YOU DON'T KNOW JACK Vol. 1 XL",5,2,40.0
"Sid Meier's Civilization IV",98,39,39.8
"Fallen Earth",121,48,39.67
Shadowgrounds,43,17,39.53
"Serious Sam 2",33,13,39.39
"Haunted Memories",56,22,39.29
"Nosferatu The Wrath of Malachi",28,11,39.29
"Pinball FX2",28,11,39.29
Proteus,28,11,39.29
"Renegade Ops",23,9,39.13
"Toki Tori 2+",23,9,39.13
"Copa Petrobras de Marcas",41,16,39.02
"Game of Thrones ",41,16,39.02
"PixelJunk Monsters Ultimate",18,7,38.89
"Prince of Persia The Forgotten Sands",18,7,38.89
Syberia,18,7,38.89
"Trainz Simulator 12",18,7,38.89
"Half-Life 2 Episode Two",365,141,38.63
140,13,5,38.46
AirBuccaneers,13,5,38.46
DETOUR,13,5,38.46
Epigenesis,13,5,38.46
"Heroes of Scene",13,5,38.46
"Savant - Ascent",13,5,38.46
"Why So Evil",13,5,38.46
"Dragon Nest",34,13,38.24
"Soldier Front 2",34,13,38.24
"Medal of Honor(TM) Single Player",113,43,38.05
"Crysis Warhead",61,23,37.7
"Half-Life 2 Episode One",394,148,37.56
Aerena,8,3,37.5
"Air Conflicts Pacific Carriers",8,3,37.5
"Avernum Escape From the Pit",8,3,37.5
"Blades of Time",16,6,37.5
"Break Into Zatwor",8,3,37.5
Chantelise,8,3,37.5
"DeathSpank Thongs Of Virtue",8,3,37.5
"Dogfight 1942",8,3,37.5
Fieldrunners,8,3,37.5
"Fractured Space",72,27,37.5
"Gemini Rue",16,6,37.5
"Iron Grip Warlord",8,3,37.5
"Jet Set Radio",8,3,37.5
"MEDIEVAL Total War - Gold Edition",8,3,37.5
"METAL SLUG DEFENSE",24,9,37.5
"Men of War Condemned Heroes",8,3,37.5
"New kind of adventure",8,3,37.5
"One Manga Day",8,3,37.5
"Pink Heaven",8,3,37.5
Q.U.B.E.,8,3,37.5
RUSH,24,9,37.5
"Saints Row 2",152,57,37.5
"Steel Storm Burning Retribution",24,9,37.5
"Tom Clancy's Splinter Cell Chaos Theory",24,9,37.5
"Voices from the Sea",8,3,37.5
"Warhammer 40,000 Dawn of War - Game of the Year Edition",88,33,37.5
"Why So Evil 2 Dystopia",8,3,37.5
"Anarchy Arcade",27,10,37.04
"Superbrothers Sword & Sworcery EP",54,20,37.04
"Dungeons & Dragons Online",46,17,36.96
"Navy Field 2  Conqueror of the Ocean",46,17,36.96
"Marvel Heroes 2015",301,111,36.88
"Binary Domain",19,7,36.84
"Goodbye Deponia",19,7,36.84
"Talisman Prologue",19,7,36.84
"Lara Croft and the Guardian of Light",71,26,36.62
"Dark Messiah of Might & Magic Single Player",52,19,36.54
Dungeonland,74,27,36.49
"A Story About My Uncle",11,4,36.36
Anoxemia,11,4,36.36
BEEP,22,8,36.36
"Deadly Premonition The Director's Cut",11,4,36.36
Greyfox,11,4,36.36
Mafia,11,4,36.36
"PixelJunk Eden",22,8,36.36
"Railroad Tycoon 2 Platinum",11,4,36.36
"Leviathan Warships",25,9,36.0
"Dead Island Epidemic",353,127,35.98
"Quake Live",214,77,35.98
"BioShock 2",184,66,35.87
"La Tale",53,19,35.85
"Let the Cat In",14,5,35.71
"One Way Heroics",14,5,35.71
"Solstice Arena",14,5,35.71
Spirits,14,5,35.71
"The Dig",14,5,35.71
X-Blades,28,10,35.71
"Grand Theft Auto III",90,32,35.56
Strife,96,34,35.42
"FreeStyle2 Street Basketball",257,91,35.41
"Medal of Honor(TM) Multiplayer",113,40,35.4
"Rise of Flight United",17,6,35.29
"Divine Souls",37,13,35.14
"Worms Ultimate Mayhem",37,13,35.14
"Modular Combat",43,15,34.88
"Oddworld Abe's Exoddus",23,8,34.78
"Company of Heroes",179,62,34.64
"Oil Rush",26,9,34.62
RaiderZ,29,10,34.48
"Back to the Future Ep 1 - It's About Time",32,11,34.38
"March of War",50,17,34.0
"Supreme Commander",53,18,33.96
"Stronghold HD",62,21,33.87
"Warlock - Master of the Arcane",65,22,33.85
"10 Second Ninja",6,2,33.33
"99 Spirits",3,1,33.33
"A-Train 8",3,1,33.33
"AI War Fleet Command",24,8,33.33
"AZMD! Scorepocalypse ",3,1,33.33
"Abyss Odyssey",15,5,33.33
"Agricultural Simulator 2011 Extended Edition",3,1,33.33
"Airport Simulator 2014",3,1,33.33
"Ancient Space",3,1,33.33
ArcaniA,30,10,33.33
Ascendant,3,1,33.33
"Ashes of the Singularity",3,1,33.33
"Axis Game Factory's AGFPRO 3.0",15,5,33.33
"Back to Bed",3,1,33.33
"Bad Hotel",3,1,33.33
"Ballpoint Universe Infinite",9,3,33.33
"Battle Battalions",12,4,33.33
Betrayer,18,6,33.33
"Beware Planet Earth",3,1,33.33
"Bionic Commando",3,1,33.33
"Black Sails",3,1,33.33
"Blazing Angels Squadrons of WWII",3,1,33.33
Boid,3,1,33.33
"Bridge Constructor Medieval",3,1,33.33
Burgers,6,2,33.33
"Call of Juarez",6,2,33.33
Capsized,30,10,33.33
"Carmageddon Max Pack",3,1,33.33
Chaser,6,2,33.33
Cinders,6,2,33.33
"Clergy Splode",3,1,33.33
"Cognition An Erica Reed Thriller",3,1,33.33
Coil,3,1,33.33
"Color Symphony",15,5,33.33
"Containment The Zombie Puzzler",3,1,33.33
"Dark Fall 1 The Journal",3,1,33.33
"Dark Void",3,1,33.33
Darkout,3,1,33.33
"Decay - The Mare",3,1,33.33
Deepworld,18,6,33.33
"Demise of Nations Rome",3,1,33.33
"Depression Quest",12,4,33.33
"Depth Hunter 2 Deep Dive",3,1,33.33
"Devils Share",3,1,33.33
"Drakensang The River of Time",3,1,33.33
"Drunken Robot Pornography",3,1,33.33
"Dungeonbowl Knockout Edition",3,1,33.33
"Dynamite Jack",6,2,33.33
"Enigmatis 2 The Mists of Ravenwood",3,1,33.33
"Escape Rosecliff Island",6,2,33.33
"Etherlords II",3,1,33.33
"F.E.A.R. 2 Project Origin",114,38,33.33
"FINAL FANTASY XI",6,2,33.33
"FLY'N",6,2,33.33
"Feeding Frenzy 2 Shipwreck Showdown Deluxe",6,2,33.33
"Fist Puncher",3,1,33.33
"Full Spectrum Warrior Ten Hammers",6,2,33.33
GUN,3,1,33.33
"Galactic Civilizations I Ultimate Edition",9,3,33.33
"Grand Ages Rome",9,3,33.33
"Gravity Badgers",3,1,33.33
"Great Permutator",3,1,33.33
"Grimoire Manastorm",21,7,33.33
"Guardians of Graxia",3,1,33.33
"Hero Academy",15,5,33.33
Ichi,6,2,33.33
Ignite,6,2,33.33
"Ionball 2  Ionstorm",15,5,33.33
"Journey of a Roach",6,2,33.33
"Karos Returns",6,2,33.33
"LEGO Pirates of the Caribbean The Video Game",3,1,33.33
"Letter Quest Grimm's Journey",3,1,33.33
"Letter Quest Grimm's Journey Remastered",3,1,33.33
"METAL SLUG X",3,1,33.33
Mainland,3,1,33.33
